负压_kPa,实际温度_°C,预测温度_°C
-16.652,350.7,396.23686249724886
-16.644,323.4,396.49931357489726
-16.641,306.54999999999995,388.91160160077396
-16.631,368.75,404.7979691566567
-16.623,327.65,389.77213773183644
-16.334,361.35,409.5896926376909
-16.243,378.65,396.6728907718444
-16.09,342.2,405.84587763156577
-15.945,407.6,414.7540216919049
-15.588,332.1,401.5439065173887
-15.231,400.9,407.6947244843841
-15.044,436.6,416.4313984936571
-15.033,488.15,485.92298097097637
-14.979,467.35,466.6619449879117
-14.978,488.79999999999995,483.57513546292853
-14.959,459.85,461.80873317092187
-14.955,481.45,480.33960868777103
-14.934,471.3,475.52426782387295
-14.929,462.6,458.36296742856047
-14.925,466.65,469.2000924182448
-14.905,355.75,398.60935458516366
-14.819,477.3,485.74401213702447
-14.767,437.1,438.9140154106837
-14.764,406.9,412.03740152855187
-14.762,478.79999999999995,471.7356803343401
-14.762,465.04999999999995,469.74085195246744
-14.761,462.29999999999995,448.9949473632172
-14.756,486.7,487.60782636105347
-14.751,467.2,469.8184543003611
-14.738,468.45,463.6547965606797
-14.729,474.3,476.9775544340031
-14.726,478.6,478.77245108019866
-14.714,471.95000000000005,467.1161697218978
-14.699,487.0,487.7086903842549
-14.693,508.6,500.94548768885556
-14.692,481.75,486.6650957569335
-14.689,477.25,483.1497806168188
-14.674,491.05,492.2749297141465
-14.667,500.35,499.6276630999345
-14.666,426.4,438.09974270893264
-14.663,509.3,514.4974852643841
-14.654,493.85,495.5703583618295
-14.65,499.2,491.49090289219754
-14.646,353.35,402.7117025083183
-14.638,447.65,444.7576847488213
-14.632,502.35,502.1335022887748
-14.609,508.90000000000003,508.2418809337003
-14.599,426.45,481.89046702832957
-14.583,466.0,461.9774525144912
-14.544,473.65,462.2672366435179
-14.535,458.55,470.31063055162235
-14.535,446.75,443.4841428244897
-14.506,493.1,505.3294823989819
-14.505,457.75,443.4141557070486
-14.494,518.9000000000001,508.8653665142015
-14.482,526.0999999999999,522.4442287996741
-14.479,474.95,468.8068657286269
-14.478,464.70000000000005,466.8690937353319
-14.463,480.5,480.7184750432326
-14.453,499.7,499.6581108460174
-14.45,482.45,485.1949843304834
-14.444,470.20000000000005,468.0000863339861
-14.438,475.45000000000005,472.44408387741976
-14.434,476.45,482.0599955188012
-14.433,479.95000000000005,481.51698455871747
-14.43,500.25,502.47883635300514
-14.425,491.75,490.6265111752723
-14.415,502.5,502.5067917624708
-14.411,469.45,468.07090217123766
-14.408,461.15,467.2243343670128
-14.404,471.9,463.92887877179857
-14.404,498.4,495.7239326867526
-14.403,531.3,527.0111610706576
-14.402,468.8,463.3409353156804
-14.401,529.3,525.9642415758311
-14.393,454.35,456.746752757566
-14.391,476.25,475.9859222756414
-14.385,454.05,462.51323899399466
-14.383,509.0,505.89787653220105
-14.381,463.75,477.3401687423285
-14.381,488.5,487.24979196295095
-14.38,478.4,489.92905875634955
-14.38,477.6,478.8174442527397
-14.38,525.8499999999999,522.844883942287
-14.374,482.2,492.0082974141705
-14.374,472.05,471.3846202391736
-14.373,516.25,514.7587986859714
-14.373,484.75,487.36983489176805
-14.368,477.45,477.4181826963449
-14.368,474.6,482.35874747794793
-14.365,470.9,468.93640675087727
-14.365,456.6,463.5673995532036
-14.362,493.75,488.0299948695486
-14.361,526.55,513.0134018259087
-14.357,506.15,512.8435203717445
-14.357,484.0,476.64069976931523
-14.351,464.95000000000005,472.56527363599525
-14.347,455.6,461.86262228694625
-14.344,460.20000000000005,460.4948000312061
-14.336,455.0,465.50125732384737
-14.333,485.04999999999995,492.1500756883662
-14.324,501.15,498.00138943249846
-14.324,477.8,485.1212574076327
-14.324,474.75,483.5654945765671
-14.32,508.15,509.33605635247
-14.32,488.4,486.9356190049876
-14.317,504.35,499.88498691062915
-14.317,489.25,482.6133267267176
-14.317,505.45,503.73219493839014
-14.313,437.20000000000005,432.544420071862
-14.313,508.85,507.5445501668783
-14.312,491.9,491.1464116920136
-14.306,397.65,433.2822393265173
-14.306,511.1,508.2360278267303
-14.303,467.95000000000005,481.3948757160456
-14.299,500.0,497.06869334544297
-14.298,448.20000000000005,449.93396649245517
-14.297,489.85,491.25287298639455
-14.297,502.45,504.1255670802586
-14.295,513.15,508.1740735804579
-14.295,465.29999999999995,464.14930827019947
-14.295,497.79999999999995,492.27631801365357
-14.294,453.1,452.51693321340065
-14.29,424.0,426.9534315173392
-14.289,440.7,438.88616444488326
-14.289,490.3,492.8673168244928
-14.287,475.9,474.496671120887
-14.287,494.95000000000005,502.59088249123965
-14.286,527.85,523.8173877324492
-14.286,477.05,480.74287619081684
-14.284,481.45000000000005,489.5205933887366
-14.283,482.4,489.2763270227389
-14.282,504.35,514.9542796819944
-14.279,483.45,492.98393924609763
-14.279,451.65,448.7480658220044
-14.277,488.3,487.7343017456929
-14.277,481.8,488.5004988881368
-14.275,379.20000000000005,401.43920208583967
-14.273,491.8,488.1570433223867
-14.271,476.29999999999995,475.361821269365
-14.265,518.15,513.0741542872144
-14.264,518.8,523.9145011147509
-14.264,489.95,492.94223946625203
-14.263,511.95000000000005,509.48722622633835
-14.263,417.35,440.17903239369537
-14.261,439.3,442.4045588161719
-14.261,509.4,506.39572998037346
-14.258,518.4,514.1612099945128
-14.257,515.45,508.83942736065865
-14.256,427.45000000000005,423.98676662702576
-14.256,424.4,421.3514546289096
-14.256,438.55,435.83767653952714
-14.256,510.05,510.8562670570752
-14.254,528.1,523.9277038056616
-14.252,521.45,511.1770978556326
-14.252,485.15,486.7268298588868
-14.248,492.45,491.0830829532384
-14.248,453.79999999999995,456.4370067458067
-14.248,509.75,510.57153002220457
-14.246,511.90000000000003,511.37366888788097
-14.246,508.7,503.8339556868003
-14.245,505.0,501.17408787485004
-14.245,492.5,493.1082483990508
-14.242,458.45,452.1634084872095
-14.239,524.3,518.3155904652784
-14.238,509.75,507.7415984136917
-14.238,527.6,523.0555830697496
-14.238,523.1,518.7994090304936
-14.238,459.05,457.5870625101201
-14.238,458.45,459.4692068114023
-14.235,463.9,464.3041755756541
-14.234,383.0,403.28597205611885
-14.233,477.3,482.0601521447512
-14.232,526.9,521.0236227226935
-14.23,490.7,490.36636572383014
-14.228,476.45000000000005,468.37706629980624
-14.228,475.1,471.930059033711
-14.227,513.75,509.13860867594906
-14.226,503.75,501.6192344543696
-14.223,489.25,486.68047959098516
-14.223,484.8,476.5292906004534
-14.223,445.0,447.83320925196443
-14.223,486.6,490.1535617363314
-14.22,484.7,490.53798441299034
-14.22,460.0,462.7847355356152
-14.218,481.25,484.90432076837465
-14.218,490.75,497.55762902182096
-14.216,522.7,520.0154373863132
-14.214,493.4,489.5163099085358
-14.214,516.95,516.8338523016824
-14.214,470.75,468.9522991982909
-14.211,471.54999999999995,476.1575881781609
-14.209,469.1,467.05922299971695
-14.205,486.7,486.2216779550888
-14.205,472.15,475.35846015515085
-14.202,498.15,498.91615745321184
-14.201,467.4,470.4658027131335
-14.201,482.95000000000005,490.1170164773278
-14.201,483.5,487.6679410007069
-14.201,483.55,485.60983234884986
-14.198,463.7,472.4424479629393
-14.198,439.85,443.05845873419383
-14.198,501.75,505.98230573053934
-14.197,435.2,438.682108903144
-14.192,453.45000000000005,433.01220307104165
-14.188,481.45,481.2660255564125
-14.186,479.95,487.52962319032395
-14.186,510.20000000000005,507.134074591286
-14.185,464.65,464.0205728140983
-14.185,480.4,482.0474467536639
-14.185,495.0,493.0462187289381
-14.185,467.20000000000005,468.2665790730735
-14.185,481.4,483.56868429565156
-14.183,500.45,493.98861831380424
-14.181,514.15,521.5809318180469
-14.178,512.0999999999999,512.3066826295625
-14.177,483.75,484.9085357487439
-14.177,509.29999999999995,505.7964443263886
-14.176,496.65,493.6823714571957
-14.174,440.65,446.72068999561463
-14.172,478.85,479.3938053685412
-14.171,506.85,504.9526548287592
-14.169,499.5,499.28784830106065
-14.169,476.7,477.5294756687095
-14.166,484.29999999999995,481.3441632413296
-14.166,482.5,489.262940509791
-14.164,526.3,525.9564505739044
-14.164,507.2,502.943154299602
-14.164,467.55,473.87227251253273
-14.16,475.65,473.98148979059346
-14.16,490.0,499.300837575362
-14.159,475.5,479.59234648528906
-14.159,485.8,485.4527677006526
-14.157,463.7,472.20053224304445
-14.157,505.1,502.41200499015133
-14.153,477.54999999999995,486.92976077146363
-14.151,457.4,469.0034694455291
-14.149,468.75,469.8250202534331
-14.148,476.15,478.54004997625543
-14.148,505.35,504.85332357836336
-14.147,515.65,518.5333504838113
-14.146,505.0,502.6831269601404
-14.146,467.85,475.6675386762689
-14.145,533.25,530.4451808623451
-14.145,472.79999999999995,478.59236651378694
-14.145,528.7,530.458572834202
-14.144,487.1,493.8282648987303
-14.143,489.15,488.92099054629125
-14.141,456.65,459.45891284381935
-14.141,520.05,521.9938931883119
-14.141,505.1,511.8158594792273
-14.14,462.25,460.3491120309637
-14.14,452.65,458.0902178623616
-14.14,430.45000000000005,422.63101393712736
-14.138,522.5,518.8176365722298
-14.138,515.5,520.4761236154015
-14.138,465.6,466.42512667463535
-14.138,522.8499999999999,517.294362445918
-14.137,495.4,495.59706366594725
-14.134,456.79999999999995,457.6234161544799
-14.133,531.4000000000001,522.6137605102205
-14.133,533.95,530.4822487527595
-14.133,454.95,456.17312349055254
-14.132,502.05,505.7653238918539
-14.13,506.5,500.70144020556774
-14.13,466.85,465.8012327179565
-14.13,520.45,517.4099782417088
-14.13,506.15,513.1073550661993
-14.129,493.25,495.94405904129803
-14.129,503.75,506.8115033829565
-14.129,524.0999999999999,532.3637531211278
-14.129,481.04999999999995,490.44132437319473
-14.129,506.75,505.2395964759578
-14.127,517.75,515.4834250442011
-14.127,488.4,492.2327056930351
-14.126,507.54999999999995,509.9498797177407
-14.126,352.95000000000005,395.24087144732607
-14.126,531.0999999999999,534.99250590244
-14.126,458.6,468.423356298187
-14.125,513.45,512.8348554231601
-14.125,529.5999999999999,529.3496394343206
-14.125,527.8,525.8888867378735
-14.123,529.5,532.2185663301814
-14.123,532.8,533.5880563180622
-14.123,488.15,481.78136010894985
-14.123,506.5,513.0778885059481
-14.123,498.1,498.2610335391176
-14.123,463.15,463.0389985605495
-14.123,463.05,460.1804749472187
-14.123,514.9000000000001,508.7211425283444
-14.122,489.75,487.81338066339333
