13#风箱温度,CO浓度_mg_m3
344.1,3513.455
340.9,3532.625
309.79999999999995,3486.69
290.5,3540.22
265.5,3574.942
266.95,3505.498
236.7,3615.451
217.05,3658.493
226.45,3673.683
237.75,3570.602
269.9,3635.706
309.75,3556.135
319.9,3430.628
335.9,3395.544
343.5,3372.396
331.55,3292.463
313.65,3346.354
302.95,3360.822
284.5,3338.759
265.54999999999995,3364.8
247.25,3399.161
225.45,3536.242
216.35000000000002,3528.646
223.05,3528.646
244.75,3569.878
275.55,3479.456
301.95000000000005,3475.839
323.15,3430.628
331.95,3486.69
304.9,3505.859
286.6,3528.646
284.15,3557.943
292.70000000000005,3483.073
286.15,3521.05
267.70000000000005,3536.242
250.25,3493.924
260.55,3501.881
297.65,3563.73
349.79999999999995,3495.37
364.0,3498.264
358.7,3460.648
348.85,3532.625
337.95,3461.01
318.35,3486.69
288.7,3505.859
282.3,3552.156
262.15,3551.794
261.20000000000005,3544.199
283.25,3483.435
348.4,3395.544
378.75,3327.546
373.0,3284.867
348.04999999999995,3312.355
308.8,3326.823
270.1,3411.097
249.05,3423.033
255.45,3509.838
264.45000000000005,3498.264
285.25,3461.01
283.0,3509.115
259.35,3501.881
236.79999999999998,3532.625
211.15,3598.09
195.85,3567.347
199.0,3559.751
216.9,3552.156
232.75,3486.69
249.70000000000002,3517.433
236.8,3544.199
230.60000000000002,3551.794
230.10000000000002,3525.029
209.5,3654.152
190.3,3963.397
184.45,3917.463
196.0,3886.719
221.60000000000002,3871.166
252.2,3925.058
280.95,3830.295
328.25,3776.403
347.35,3594.473
367.65,3592.303
370.2,3559.751
330.15,3616.175
291.3,3653.791
260.0,3733.724
270.1,3855.975
279.7,3646.919
286.2,3761.213
270.15,3753.617
245.55,3756.872
228.55,3803.53
209.55,3944.589
206.95,3977.141
227.9,3944.227
229.55,3961.95
216.7,3932.653
194.7,3951.823
178.7,4015.842
179.8,4169.56
217.95,4202.835
294.0,4156.901
324.85,4153.646
298.45000000000005,4190.9
296.85,4187.645
280.25,4198.857
265.7,4180.049
238.1,4191.985
238.5,4145.689
254.15,3882.74
283.85,3666.088
338.04999999999995,3486.69
392.5,3372.396
409.2,3242.549
413.55,3197.338
411.2,3219.763
409.95000000000005,3223.38
398.95,3269.314
396.65,3292.463
399.05,3342.737
390.75,3376.013
349.35,3418.692
310.25,3376.013
281.45000000000005,3464.989
264.65,3490.669
282.35,3449.074
312.95000000000005,3197.338
354.0,3044.705
388.9,3379.992
421.5,3509.838
375.1,3418.692
328.2,3418.692
320.1,3497.902
304.4,3563.73
307.85,3600.622
329.25,3608.941
345.25,3548.177
342.05,3532.263
371.45,3509.115
411.95,3402.778
441.8,3338.759
456.15,3349.971
407.79999999999995,3429.905
331.0,3525.029
313.2,3594.112
350.75,3567.347
377.25,3551.794
404.20000000000005,3505.859
400.45,3441.117
394.8,3395.544
404.9,3357.205
410.1,3260.995
405.1,3235.315
406.8,3150.318
408.45,3204.21
392.1,3154.297
373.5,3187.572
346.5,3205.295
328.95,3269.314
293.4,3335.142
265.1,3383.608
253.75,3407.118
252.0,3441.479
243.64999999999998,3458.117
237.8,3493.924
238.15,3464.989
220.7,3414.713
208.05,3544.199
199.0,3631.004
205.5,3612.196
231.65,3615.451
269.5,3658.493
271.65,1148.727
247.29999999999998,3154.297
217.9,3737.341
221.8,3833.912
280.7,3825.955
328.75,3787.977
346.35,3807.509
349.29999999999995,3740.596
344.15,3775.318
330.35,3806.424
308.1,3799.913
281.85,3818.721
272.15,3882.378
287.4,3984.737
290.3,4026.693
285.6,3988.715
263.9,3901.186
232.35000000000002,3947.483
254.45,3951.461
296.29999999999995,4023.076
298.95000000000005,4106.988
289.5,4213.325
315.85,4210.069
339.35,4248.047
324.85,4110.605
301.0,3814.019
265.55,3604.963
241.3,3658.493
218.75,3874.06
216.2,3916.739
249.75,3973.524
321.29999999999995,3931.93
340.7,3989.077
339.45,3940.611
328.25,4000.651
308.5,4003.906
304.9,3962.312
288.85,3882.378
304.0,3748.553
359.25,3669.343
397.35,3617.622
398.5,3627.025
390.85,3532.263
399.7,3619.43
399.15,3836.805
384.0,4023.076
380.45000000000005,4007.885
347.9,3961.588
354.1,4046.224
373.9,3881.655
404.35,3752.532
381.29999999999995,3882.74
351.75,4046.224
313.4,4077.329
286.85,3969.908
265.35,3921.441
239.5,4007.162
231.75,4042.245
228.39999999999998,4207.176
258.1,4244.43
284.65,4255.281
319.3,4202.835
308.65,4106.626
297.15,4007.885
263.1,4015.842
242.25,4042.607
232.8,4019.821
237.15,4004.268
252.7,4000.651
318.05,3943.866
373.1,3894.314
398.45000000000005,3829.21
371.15,3890.335
329.25,3870.443
318.85,3981.12
299.55,3977.503
287.85,3921.441
327.9,3882.378
365.4,3756.149
383.9,3662.471
396.05,3703.704
393.55,3669.343
403.1,3631.004
414.55,3471.499
405.7,3411.097
359.04999999999995,3479.456
312.9,3544.56
272.6,3685.619
230.5,3821.615
219.75,3790.148
227.85000000000002,3874.783
234.39999999999998,3951.823
234.6,4007.885
249.15,3973.524
254.25,3936.632
272.65,3851.273
303.6,3774.957
345.5,3600.622
374.20000000000005,3483.073
357.85,3468.605
346.5,3441.479
355.45000000000005,3445.819
364.35,3479.456
354.4,3445.457
323.35,3445.457
305.8,3464.265
312.7,3567.347
309.85,3643.302
309.6,3634.983
310.95,3631.366
283.35,3734.447
272.7,3829.933
334.65,3952.546
381.54999999999995,3783.999
403.65,3696.832
381.1,3544.199
347.85,3524.305
315.95,3627.387
315.85,3693.215
323.6,3719.618
340.65,3685.619
353.0,3670.067
367.9,3619.792
372.0,3642.94
371.54999999999995,3658.493
340.20000000000005,3597.367
316.4,4019.821
320.0,4027.416
318.1,3955.802
319.75,3791.594
307.25,3674.407
317.45,3639.323
331.4,3742.043
324.9,3719.618
341.04999999999995,3654.876
360.0,3563.73
373.15,3540.22
346.5,3589.772
311.2,3677.662
276.95,3623.77
283.25,3597.367
286.9,3544.199
281.6,3559.751
290.5,3578.559
287.55,3509.838
307.4,3483.073
328.45,3411.097
335.15,3315.611
336.75,3220.486
332.9,3238.571
331.5,3262.442
313.8,3193.721
287.55,3231.699
258.0,3250.145
241.35,3288.846
258.45,3323.568
298.1,3383.608
301.35,3289.207
285.45,3276.91
276.79999999999995,3269.314
247.55,3292.101
240.9,3265.335
239.25,3346.354
233.1,3364.8
219.8,3420.862
204.85,3475.839
214.2,3453.415
240.14999999999998,3441.84
280.85,3456.308
312.5,3364.8
313.05,3327.546
294.9,3399.161
285.55,3315.972
303.05,3227.72
294.8,3216.146
262.15,3246.528
257.6,3261.719
261.6,3350.333
240.35,3372.757
235.65,3372.396
248.05,3449.074
270.45,3403.139
308.7,3327.546
319.9,3269.314
297.7,3292.101
266.45,3209.274
252.55,3224.103
258.4,3246.528
279.70000000000005,3368.417
255.85,3368.055
236.1,3391.204
231.15,3445.819
218.0,3493.924
204.5,3483.073
204.05,3464.989
209.8,3430.628
229.95,3449.074
237.3,3472.584
265.0,3391.204
282.1,3331.163
299.29999999999995,3288.484
307.75,3238.571
276.85,3151.042
233.0,3197.338
208.4,3342.737
201.6,3335.142
212.39999999999998,3418.692
228.85,3475.839
250.0,3548.177
243.35000000000002,3475.839
222.65,3418.692
219.85,3453.415
208.2,3395.182
219.75,3341.291
282.29999999999995,3308.015
308.4,3231.699
269.55,3197.7
225.35,3296.079
200.05,3379.992
217.35,3464.265
263.45,3439.67
299.54999999999995,3399.161
302.6,3296.441
314.15,3197.338
310.15,3200.955
298.1,3101.852
292.6,3123.915
274.1,3166.233
253.75,3234.592
220.1,3347.078
215.35,3395.544
220.10000000000002,3426.649
205.85,3501.519
214.55,3619.792
219.95,3544.922
215.05,3582.537
219.75,3532.625
248.10000000000002,3486.69
279.7,3414.713
277.9,3272.931
268.04999999999995,3254.123
257.45,3266.059
236.1,3273.655
247.55,2679.037
275.95,1848.958
305.75,3117.043
329.35,3228.082
339.35,3205.295
314.7,3250.145
289.9,3232.06
276.1,3181.785
277.6,3116.681
270.85,3224.465
281.15,3350.333
295.65,3315.972
303.7,3327.546
351.1,3257.74
380.75,3209.274
382.75,3166.233
356.6,3253.038
336.85,3097.873
314.4,3166.233
310.75,3193.359
329.9,3197.338
341.54999999999995,3224.465
326.4,3197.7
325.2,3284.867
290.95000000000005,3254.123
281.70000000000005,3209.635
297.79999999999995,3220.486
319.1,3265.335
337.55,3335.142
358.6,3216.869
356.2,3186.126
332.65,3191.912
289.0,3257.74
277.6,3330.802
276.45,3342.737
282.0,3376.013
292.65,3372.396
