1#大烟道温度,CO浓度_mg_m3
170.7,3513.455
171.1,3532.625
170.6,3486.69
169.5,3540.22
167.9,3574.942
165.5,3505.498
163.0,3615.451
162.0,3658.493
161.9,3673.683
162.4,3570.602
163.7,3635.706
165.3,3556.135
167.0,3430.628
168.5,3395.544
169.5,3372.396
169.4,3292.463
168.5,3346.354
167.1,3360.822
165.2,3338.759
163.2,3364.8
161.1,3399.161
159.2,3536.242
157.9,3528.646
157.2,3528.646
158.1,3569.878
160.2,3479.456
162.4,3475.839
164.3,3430.628
165.6,3486.69
166.3,3505.859
166.6,3528.646
166.7,3557.943
166.8,3483.073
166.9,3521.05
166.8,3536.242
166.4,3493.924
167.1,3501.881
168.1,3563.73
168.7,3495.37
168.0,3498.264
167.3,3460.648
166.4,3532.625
165.3,3461.01
164.0,3486.69
162.5,3505.859
161.1,3552.156
160.5,3551.794
160.7,3544.199
161.3,3483.435
162.2,3395.544
163.0,3327.546
163.2,3284.867
163.2,3312.355
162.7,3326.823
161.9,3411.097
160.6,3423.033
158.7,3509.838
157.1,3498.264
156.2,3461.01
155.7,3509.115
155.0,3501.881
154.4,3532.625
153.5,3598.09
152.9,3567.347
152.3,3559.751
151.9,3552.156
151.6,3486.69
151.2,3517.433
150.9,3544.199
151.6,3551.794
152.5,3525.029
152.3,3654.152
151.8,3963.397
151.4,3917.463
151.9,3886.719
153.2,3871.166
156.0,3925.058
159.2,3830.295
162.7,3776.403
165.3,3594.473
166.7,3592.303
166.8,3559.751
166.3,3616.175
165.2,3653.791
164.5,3733.724
163.5,3855.975
162.7,3646.919
161.4,3761.213
160.1,3753.617
158.4,3756.872
156.7,3803.53
154.9,3944.589
153.2,3977.141
151.9,3944.227
150.6,3961.95
149.6,3932.653
149.5,3951.823
150.0,4015.842
151.0,4169.56
152.2,4202.835
153.5,4156.901
154.4,4153.646
155.1,4190.9
155.7,4187.645
156.0,4198.857
155.9,4180.049
155.5,4191.985
155.8,4145.689
157.1,3882.74
158.7,3666.088
159.9,3486.69
160.9,3372.396
161.7,3242.549
161.9,3197.338
162.1,3219.763
161.9,3223.38
161.2,3269.314
159.6,3292.463
157.6,3342.737
155.7,3376.013
153.2,3418.692
151.8,3376.013
150.9,3464.989
151.6,3490.669
153.7,3449.074
153.9,3197.338
157.5,3044.705
161.5,3379.992
164.5,3509.838
166.5,3418.692
167.7,3418.692
168.7,3497.902
169.2,3563.73
169.3,3600.622
168.9,3608.941
168.9,3548.177
168.9,3532.263
169.1,3509.115
169.6,3402.778
169.9,3338.759
169.5,3349.971
168.8,3429.905
167.8,3525.029
167.1,3594.112
166.6,3567.347
165.8,3551.794
165.3,3505.859
165.1,3441.117
165.3,3395.544
165.7,3357.205
165.9,3260.995
165.3,3235.315
164.3,3150.318
163.1,3204.21
161.9,3154.297
160.7,3187.572
159.4,3205.295
157.9,3269.314
156.4,3335.142
154.8,3383.608
153.4,3407.118
152.3,3441.479
151.4,3458.117
150.9,3493.924
151.2,3464.989
151.8,3414.713
152.4,3544.199
153.2,3631.004
154.3,3612.196
155.6,3615.451
157.2,3658.493
158.9,1148.727
160.5,3154.297
162.2,3737.341
164.0,3833.912
165.9,3825.955
167.5,3787.977
168.9,3807.509
170.2,3740.596
171.4,3775.318
172.3,3806.424
172.4,3799.913
172.0,3818.721
171.5,3882.378
170.5,3984.737
170.2,4026.693
170.4,3988.715
171.0,3901.186
171.7,3947.483
171.9,3951.461
171.5,4023.076
171.3,4106.988
170.7,4213.325
170.4,4210.069
171.2,4248.047
172.3,4110.605
172.5,3814.019
171.8,3604.963
170.8,3658.493
169.8,3874.06
169.2,3916.739
168.6,3973.524
168.4,3931.93
169.0,3989.077
169.4,3940.611
169.5,4000.651
169.4,4003.906
169.7,3962.312
170.5,3882.378
171.8,3748.553
173.4,3669.343
173.8,3617.622
174.3,3627.025
173.6,3532.263
171.0,3619.43
169.1,3836.805
168.2,4023.076
167.8,4007.885
169.0,3961.588
170.4,4046.224
170.5,3881.655
169.5,3752.532
168.0,3882.74
166.0,4046.224
163.5,4077.329
160.2,3969.908
157.6,3921.441
155.8,4007.162
155.0,4042.245
155.9,4207.176
157.2,4244.43
158.4,4255.281
159.8,4202.835
160.8,4106.626
161.5,4007.885
161.6,4015.842
161.4,4042.607
161.6,4019.821
162.4,4004.268
164.1,4000.651
166.1,3943.866
167.8,3894.314
169.2,3829.21
169.8,3890.335
169.5,3870.443
169.1,3981.12
168.7,3977.503
168.6,3921.441
168.7,3882.378
169.2,3756.149
170.5,3662.471
172.3,3703.704
173.1,3669.343
171.8,3631.004
170.0,3471.499
168.1,3411.097
165.9,3479.456
164.2,3544.56
163.2,3685.619
160.1,3821.615
156.9,3790.148
155.9,3874.783
155.9,3951.823
156.0,4007.885
156.4,3973.524
156.7,3936.632
157.7,3851.273
158.0,3774.957
158.2,3600.622
158.8,3483.073
159.2,3468.605
159.5,3441.479
159.7,3445.819
159.7,3479.456
159.3,3445.457
158.6,3445.457
157.7,3464.265
157.7,3567.347
157.7,3643.302
157.0,3634.983
156.2,3631.366
156.7,3734.447
159.0,3829.933
161.4,3952.546
164.0,3783.999
164.3,3696.832
163.0,3544.199
161.3,3524.305
159.6,3627.387
158.2,3693.215
157.4,3719.618
157.1,3685.619
157.2,3670.067
157.5,3619.792
157.5,3642.94
157.2,3658.493
155.1,3597.367
154.4,4019.821
154.4,4027.416
154.3,3955.802
154.0,3791.594
153.8,3674.407
154.4,3639.323
155.8,3742.043
156.8,3719.618
157.4,3654.876
157.9,3563.73
158.7,3540.22
160.2,3589.772
160.6,3677.662
160.5,3623.77
160.3,3597.367
160.2,3544.199
160.0,3559.751
160.4,3578.559
161.6,3509.838
163.2,3483.073
164.5,3411.097
164.7,3315.611
164.4,3220.486
164.2,3238.571
163.6,3262.442
162.7,3193.721
161.4,3231.699
160.2,3250.145
159.9,3288.846
160.9,3323.568
161.4,3383.608
161.6,3289.207
162.2,3276.91
162.9,3269.314
163.3,3292.101
162.9,3265.335
161.7,3346.354
160.4,3364.8
159.4,3420.862
158.4,3475.839
157.9,3453.415
158.2,3441.84
159.0,3456.308
160.2,3364.8
161.8,3327.546
163.4,3399.161
164.0,3315.972
164.3,3227.72
164.0,3216.146
162.4,3246.528
160.6,3261.719
158.9,3350.333
157.4,3372.757
156.2,3372.396
155.5,3449.074
155.7,3403.139
156.5,3327.546
157.7,3269.314
158.4,3292.101
158.0,3209.274
157.4,3224.103
156.9,3246.528
156.4,3368.417
156.0,3368.055
155.7,3391.204
156.4,3445.819
157.4,3493.924
158.4,3483.073
159.1,3464.989
159.8,3430.628
160.7,3449.074
161.6,3472.584
163.1,3391.204
165.4,3331.163
167.4,3288.484
168.4,3238.571
167.5,3151.042
166.3,3197.338
164.0,3342.737
161.7,3335.142
160.9,3418.692
161.3,3475.839
161.7,3548.177
161.9,3475.839
162.2,3418.692
162.2,3453.415
161.9,3395.182
161.9,3341.291
162.2,3308.015
161.9,3231.699
161.4,3197.7
160.7,3296.079
160.0,3379.992
160.4,3464.265
161.3,3439.67
162.2,3399.161
163.4,3296.441
164.8,3197.338
165.9,3200.955
165.6,3101.852
164.9,3123.915
163.2,3166.233
162.3,3234.592
161.1,3347.078
159.7,3395.544
158.9,3426.649
159.1,3501.519
159.0,3619.792
159.1,3544.922
158.9,3582.537
159.1,3532.625
159.9,3486.69
161.0,3414.713
162.0,3272.931
162.7,3254.123
163.6,3266.059
164.3,3273.655
164.2,2679.037
163.9,1848.958
164.4,3117.043
165.3,3228.082
167.0,3205.295
168.4,3250.145
168.2,3232.06
165.4,3181.785
161.9,3116.681
158.9,3224.465
156.7,3350.333
155.1,3315.972
154.7,3327.546
155.4,3257.74
156.9,3209.274
160.4,3166.233
162.4,3253.038
163.1,3097.873
162.2,3166.233
161.3,3193.359
160.7,3197.338
160.4,3224.465
161.5,3197.7
161.7,3284.867
159.9,3254.123
158.6,3209.635
158.1,3220.486
159.8,3265.335
162.1,3335.142
164.5,3216.869
166.1,3186.126
166.7,3191.912
166.1,3257.74
163.9,3330.802
161.9,3342.737
160.7,3376.013
159.9,3372.396
159.9,3361.183
160.9,3338.759
162.7,3383.608
163.9,3453.053
164.7,3407.118
164.6,3380.353
164.8,3300.419
165.0,3308.015
164.3,3277.995
162.7,3335.142
160.4,3387.949
158.8,3461.01
159.2,3594.112
160.2,3696.832
161.2,3642.94
162.4,3601.346
163.5,3551.794
164.6,3563.73
165.4,3525.029
164.6,3399.523
164.0,3315.972
164.3,3414.713
164.9,3475.839
165.0,3666.088
167.6,3905.527
169.7,3673.683
170.7,3611.834
171.0,3429.905
170.8,3379.992
169.7,3364.8
168.4,3391.204
167.5,3505.859
166.5,3741.681
165.4,3855.975
164.5,3855.614
163.7,3783.637
164.0,3776.403
164.8,3841.146
166.0,3833.55
168.6,3901.91
170.5,3814.019
170.6,3768.808
170.9,3844.401
171.6,3841.146
171.8,3799.19
171.8,3798.828
171.3,3871.166
170.0,3966.291
168.7,3969.908
167.2,4084.563
165.7,4111.328
164.7,4121.817
164.1,4141.348
164.0,4137.37
164.3,4015.48
164.1,4073.713
164.4,3996.311
164.8,4034.288
165.3,3966.291
165.0,3893.591
164.3,3943.866
163.1,3958.695
162.2,4046.947
161.4,4061.777
160.7,4098.307
160.2,4054.543
160.2,4054.543
160.5,4080.584
160.9,3988.715
161.3,4008.247
162.0,4023.438
163.2,3919.994
165.4,3901.186
167.4,3833.55
169.4,3775.318
171.2,3719.618
172.3,3628.111
172.7,3582.176
172.6,3558.304
172.5,3547.815
172.7,3574.942
173.1,3571.325
173.1,3494.285
172.4,3547.815
170.7,3578.921
168.6,3571.325
166.5,3505.498
164.8,3490.669
163.7,3528.646
163.1,3525.029
162.7,3464.989
162.9,3426.287
163.7,3357.928
165.0,3254.123
166.1,3205.295
166.7,3212.891
166.4,3257.74
165.1,3197.7
163.5,3304.037
162.2,3354.311
161.7,3391.927
163.2,3438.223
165.5,3346.354
167.0,3319.951
168.1,3257.74
169.2,3372.396
170.0,3505.498
170.2,3433.883
169.8,3437.5
169.1,3453.415
168.5,3418.692
168.8,3461.01
170.0,3438.223
171.1,3383.608
170.8,3457.031
169.8,3578.921
168.5,3604.963
167.0,3723.235
165.1,3768.084
163.1,3650.897
162.4,3617.622
162.0,3631.004
161.9,3708.044
162.2,3704.789
162.3,3707.682
162.7,3627.387
163.5,3757.234
164.8,3791.956
166.1,3844.04
166.9,3866.826
167.1,3874.783
166.8,3981.12
166.0,4065.755
164.5,4137.37
162.6,4123.987
161.1,4188.006
159.9,4176.071
158.9,4195.24
158.2,4199.581
157.4,4196.325
155.9,4313.875
154.7,4754.413
153.7,4852.431
152.9,4597.801
152.6,4628.544
152.9,4678.458
153.9,4621.311
155.2,4549.335
156.7,4490.379
158.3,4393.085
159.7,4328.342
160.7,4267.578
161.1,4243.707
161.1,4195.602
160.9,4283.131
160.1,4385.127
159.4,4294.343
158.8,4396.702
158.6,4252.387
159.0,4190.9
159.7,4134.115
160.3,4129.774
160.7,4168.475
160.4,4184.39
159.8,4236.835
158.1,4267.216
157.1,4180.049
157.0,4317.491
157.1,4332.682
157.5,4301.939
157.9,4240.452
158.5,4259.621
159.2,4271.557
160.0,4329.427
160.6,4365.958
161.0,4310.257
161.5,4217.303
162.2,4295.066
163.5,4214.41
164.8,4435.041
166.4,4472.294
168.4,4667.607
170.6,4705.223
171.6,4755.136
171.9,4624.566
171.8,4670.862
170.8,4564.525
169.6,4567.781
168.9,4555.845
167.8,4541.377
166.5,4399.233
165.6,4157.625
164.7,4046.224
163.1,4102.648
161.5,4160.518
159.9,4207.176
158.2,4210.431
156.9,4244.792
156.1,4271.195
155.5,4191.985
155.6,4095.052
156.6,4027.778
157.9,3953.27
159.1,3837.891
160.9,3814.381
162.1,3741.681
162.8,3501.519
163.2,885.778
163.5,3357.567
163.4,3642.94
163.0,3646.919
162.7,3674.407
163.0,3615.451
163.7,3616.175
164.3,3604.963
165.0,3631.727
165.3,3598.09
165.6,3598.09
165.6,3586.878
165.6,3438.223
165.6,3354.311
165.5,3300.419
165.3,3269.314
165.1,3331.163
164.8,3395.544
164.3,3448.713
164.3,3426.287
164.3,3464.989
164.3,3453.415
164.2,3365.162
164.0,3475.839
164.0,3521.05
164.2,3524.305
164.8,3567.347
165.9,3525.029
167.1,3498.264
168.2,3486.328
168.9,3517.433
169.1,3619.792
169.2,3616.175
169.1,3631.366
169.2,3567.347
169.2,3501.881
169.5,3422.309
170.1,3386.14
170.3,3342.737
169.3,3257.74
168.2,3304.037
168.6,3212.891
170.0,3166.233
171.1,3238.571
170.4,3286.314
168.7,3361.183
167.3,3449.436
166.7,3403.139
166.5,3407.118
166.6,3438.223
167.0,3430.628
167.6,3423.033
168.2,3418.692
168.1,3498.264
167.3,3525.029
166.8,3525.029
165.7,3494.285
164.6,3517.433
163.6,3610.026
162.9,3563.73
162.8,3594.112
163.1,3616.175
163.7,3547.815
164.2,3574.942
164.5,3528.284
165.0,3498.264
165.3,3552.156
165.4,3624.132
165.8,3650.535
166.5,3662.471
167.6,3556.135
168.9,3544.199
170.2,3563.73
171.2,3520.689
172.1,3475.839
173.1,3433.883
173.9,3395.182
174.1,3433.883
174.2,3461.01
174.5,3461.01
174.0,3395.544
171.9,3509.838
169.4,3642.94
167.5,3586.516
166.1,3601.346
165.2,3608.579
164.5,3563.73
164.3,3540.22
164.4,3457.031
164.8,3426.287
165.1,3457.031
165.1,3411.097
165.1,3460.648
165.1,3494.285
165.0,3461.01
164.5,3479.094
163.9,3567.347
163.0,3563.006
162.4,3528.646
162.0,3525.029
162.0,3566.623
162.1,3505.859
162.4,3426.287
163.2,3391.927
163.7,3406.033
163.9,3354.311
163.6,3399.523
163.1,3404.586
162.5,3445.819
161.9,3479.456
161.3,3528.646
161.0,3575.666
161.0,3552.156
161.1,3479.456
161.6,3435.692
162.3,3422.309
163.1,3391.927
163.7,3376.736
164.0,3357.567
163.9,3319.951
163.6,3265.335
163.5,3272.57
163.7,3232.06
164.0,3242.549
164.4,3216.869
164.6,3254.123
164.6,3269.676
164.4,3257.74
164.0,3284.867
163.5,3288.846
163.0,3376.736
162.4,3387.587
162.0,3414.713
162.0,3407.118
162.6,3395.544
163.7,3395.544
164.6,3304.037
165.3,3319.951
165.8,3280.527
166.6,3284.867
167.2,3319.951
167.7,3331.163
168.0,3246.528
168.1,3232.06
167.9,3239.294
167.7,3284.867
