1#风箱负压,CO浓度_mg_m3
-11.609,3513.455
-11.654,3532.625
-11.61,3486.69
-11.536,3540.22
-11.449,3574.942
-11.363,3505.498
-11.334,3615.451
-11.216,3658.493
-11.174,3673.683
-11.306,3570.602
-11.41,3635.706
-11.436,3556.135
-11.399,3430.628
-11.305,3395.544
-11.433,3372.396
-11.55,3292.463
-11.608,3346.354
-11.418,3360.822
-11.131,3338.759
-11.075,3364.8
-11.29,3399.161
-11.334,3536.242
-11.47,3528.646
-11.513,3528.646
-11.591,3569.878
-11.608,3479.456
-11.647,3475.839
-11.643,3430.628
-11.57,3486.69
-11.314,3505.859
-11.131,3528.646
-11.242,3557.943
-11.368,3483.073
-11.548,3521.05
-11.778,3536.242
-11.808,3493.924
-11.73,3501.881
-11.671,3563.73
-11.464,3495.37
-11.52,3498.264
-11.599,3460.648
-11.732,3532.625
-11.811,3461.01
-11.819,3486.69
-11.778,3505.859
-11.744,3552.156
-11.697,3551.794
-11.592,3544.199
-11.641,3483.435
-11.684,3395.544
-11.611,3327.546
-11.656,3284.867
-11.774,3312.355
-11.766,3326.823
-11.64,3411.097
-11.491,3423.033
-11.474,3509.838
-11.361,3498.264
-11.242,3461.01
-11.239,3509.115
-11.172,3501.881
-11.172,3532.625
-11.328,3598.09
-11.559,3567.347
-11.723,3559.751
-11.756,3552.156
-11.704,3486.69
-11.693,3517.433
-11.697,3544.199
-11.762,3551.794
-11.842,3525.029
-12.023,3654.152
-12.014,3963.397
-11.893,3917.463
-11.953,3886.719
-12.077,3871.166
-12.315,3925.058
-12.486,3830.295
-12.119,3776.403
-11.883,3594.473
-11.583,3592.303
-11.48,3559.751
-11.598,3616.175
-11.711,3653.791
-11.74,3733.724
-11.825,3855.975
-11.894,3646.919
-11.933,3761.213
-11.889,3753.617
-11.738,3756.872
-11.557,3803.53
-11.323,3944.589
-11.249,3977.141
-11.29,3944.227
-11.249,3961.95
-11.45,3932.653
-11.684,3951.823
-11.689,4015.842
-11.91,4169.56
-11.975,4202.835
-12.139,4156.901
-12.597,4153.646
-12.786,4190.9
-12.849,4187.645
-12.741,4198.857
-12.439,4180.049
-12.158,4191.985
-11.403,4145.689
-11.213,3882.74
-11.39,3666.088
-11.74,3486.69
-11.827,3372.396
-11.837,3242.549
-11.824,3197.338
-11.706,3219.763
-11.55,3223.38
-11.6,3269.314
-11.503,3292.463
-11.438,3342.737
-11.31,3376.013
-11.154,3418.692
-11.407,3376.013
-11.677,3464.989
-11.87,3490.669
-10.76,3449.074
-10.323,3197.338
-11.286,3044.705
-11.277,3379.992
-11.25,3509.838
-11.22,3418.692
-11.198,3418.692
-11.174,3497.902
-11.098,3563.73
-11.07,3600.622
-11.16,3608.941
-11.263,3548.177
-11.38,3532.263
-11.488,3509.115
-11.53,3402.778
-11.551,3338.759
-11.627,3349.971
-11.607,3429.905
-11.547,3525.029
-11.551,3594.112
-11.54,3567.347
-11.554,3551.794
-11.565,3505.859
-11.663,3441.117
-11.674,3395.544
-11.621,3357.205
-11.485,3260.995
-11.268,3235.315
-11.338,3150.318
-11.487,3204.21
-11.628,3154.297
-11.524,3187.572
-11.358,3205.295
-11.263,3269.314
-11.249,3335.142
-11.228,3383.608
-11.256,3407.118
-11.368,3441.479
-11.511,3458.117
-11.528,3493.924
-11.457,3464.989
-11.457,3414.713
-11.227,3544.199
-11.294,3631.004
-11.853,3612.196
-12.039,3615.451
-11.898,3658.493
-11.749,1148.727
-11.652,3154.297
-11.647,3737.341
-11.584,3833.912
-11.588,3825.955
-11.688,3787.977
-11.829,3807.509
-11.974,3740.596
-12.03,3775.318
-12.016,3806.424
-11.857,3799.913
-11.645,3818.721
-11.462,3882.378
-11.458,3984.737
-11.535,4026.693
-11.636,3988.715
-11.609,3901.186
-11.632,3947.483
-11.539,3951.461
-11.36,4023.076
-11.518,4106.988
-11.414,4213.325
-11.462,4210.069
-7.088,4248.047
