2#大烟道负压,CO浓度_mg_m3
-14.097,3513.455
-14.053,3532.625
-14.072,3486.69
-14.157,3540.22
-14.105,3574.942
-14.128,3505.498
-14.125,3615.451
-14.187,3658.493
-14.186,3673.683
-14.191,3570.602
-14.203,3635.706
-14.205,3556.135
-14.2,3430.628
-14.021,3395.544
-14.033,3372.396
-14.019,3292.463
-14.033,3346.354
-14.034,3360.822
-14.04,3338.759
-14.01,3364.8
-14.278,3399.161
-14.33,3536.242
-14.345,3528.646
-14.346,3528.646
-14.365,3569.878
-14.372,3479.456
-14.331,3475.839
-14.301,3430.628
-14.3,3486.69
-14.274,3505.859
-14.282,3528.646
-14.289,3557.943
-14.256,3483.073
-14.282,3521.05
-14.329,3536.242
-14.284,3493.924
-14.281,3501.881
-14.318,3563.73
-14.33,3495.37
-14.298,3498.264
-14.291,3460.648
-14.277,3532.625
-14.277,3461.01
-14.296,3486.69
-14.319,3505.859
-14.305,3552.156
-14.297,3551.794
-14.329,3544.199
-14.33,3483.435
-14.075,3395.544
-14.045,3327.546
-14.021,3284.867
-14.041,3312.355
-14.036,3326.823
-14.023,3411.097
-14.082,3423.033
-14.112,3509.838
-14.086,3498.264
-14.073,3461.01
-14.048,3509.115
-14.057,3501.881
-14.041,3532.625
-14.08,3598.09
-14.074,3567.347
-14.101,3559.751
-14.119,3552.156
-14.145,3486.69
-14.146,3517.433
-14.155,3544.199
-14.145,3551.794
-14.255,3525.029
-14.327,3654.152
-14.305,3963.397
-14.291,3917.463
-14.616,3886.719
-14.72,3871.166
-15.078,3925.058
-14.575,3830.295
-14.463,3776.403
-14.437,3594.473
-14.41,3592.303
-14.42,3559.751
-14.409,3616.175
-14.354,3653.791
-14.427,3733.724
-14.392,3855.975
-14.428,3646.919
-14.42,3761.213
-14.399,3753.617
-14.428,3756.872
-14.427,3803.53
-14.395,3944.589
-14.408,3977.141
-14.41,3944.227
-14.382,3961.95
-14.964,3932.653
-15.221,3951.823
-15.243,4015.842
-15.509,4169.56
-15.49,4202.835
-15.608,4156.901
-15.754,4153.646
-15.758,4190.9
-15.733,4187.645
-15.736,4198.857
-15.722,4180.049
-14.81,4191.985
-14.327,4145.689
-14.356,3882.74
-14.341,3666.088
-14.337,3486.69
-14.331,3372.396
-14.317,3242.549
-14.291,3197.338
-14.27,3219.763
-14.277,3223.38
-14.36,3269.314
-14.368,3292.463
-14.357,3342.737
-14.07,3376.013
-14.411,3418.692
-14.414,3376.013
-14.435,3464.989
-14.468,3490.669
-13.417,3449.074
-14.251,3197.338
-14.324,3044.705
-14.284,3379.992
-14.255,3509.838
-14.249,3418.692
-14.211,3418.692
-14.214,3497.902
-14.216,3563.73
-14.239,3600.622
-14.275,3608.941
-14.191,3548.177
-14.2,3532.263
-14.2,3509.115
-14.184,3402.778
-14.165,3338.759
-14.16,3349.971
-14.165,3429.905
-14.141,3525.029
-14.146,3594.112
-14.169,3567.347
-14.214,3551.794
-14.203,3505.859
-14.217,3441.117
-14.19,3395.544
-14.195,3357.205
-14.194,3260.995
-13.927,3235.315
-13.923,3150.318
-13.946,3204.21
-13.944,3154.297
-13.942,3187.572
-13.966,3205.295
-13.946,3269.314
-13.967,3335.142
-13.956,3383.608
-13.98,3407.118
-14.029,3441.479
-14.01,3458.117
-14.072,3493.924
-14.075,3464.989
-13.888,3414.713
-13.792,3544.199
-13.8,3631.004
-14.427,3612.196
-14.425,3615.451
-14.432,3658.493
-14.406,1148.727
-14.408,3154.297
-14.402,3737.341
-14.421,3833.912
-14.398,3825.955
-14.416,3787.977
-14.393,3807.509
-14.409,3740.596
-14.382,3775.318
-14.39,3806.424
-14.383,3799.913
-14.388,3818.721
-14.376,3882.378
-14.401,3984.737
-14.392,4026.693
-14.398,3988.715
-14.399,3901.186
-14.385,3947.483
-14.353,3951.461
-14.735,4023.076
-14.732,4106.988
-14.694,4213.325
-14.749,4210.069
-14.816,4248.047
-14.82,4110.605
-14.824,3814.019
-14.822,3604.963
-14.798,3658.493
-14.803,3874.06
-14.82,3916.739
-14.846,3973.524
-14.818,3931.93
-14.818,3989.077
-14.819,3940.611
-14.82,4000.651
-14.829,4003.906
-14.51,3962.312
-14.27,3882.378
-14.263,3748.553
-14.194,3669.343
